index,target_x,target_y,target_z,actual_x,actual_y,actual_z,targeting_error_mm,angular_error_deg,exp_R00,exp_R01,exp_R02,exp_R10,exp_R11,exp_R12,exp_R20,exp_R21,exp_R22,act_R00,act_R01,act_R02,act_R10,act_R11,act_R12,act_R20,act_R21,act_R22,F_OM1_x,F_OM1_y,F_OM1_z,F_OM1_R00,F_OM1_R01,F_OM1_R02,F_OM1_R10,F_OM1_R11,F_OM1_R12,F_OM1_R20,F_OM1_R21,F_OM1_R22,F_OM2_x,F_OM2_y,F_OM2_z,F_OM2_R00,F_OM2_R01,F_OM2_R02,F_OM2_R10,F_OM2_R11,F_OM2_R12,F_OM2_R20,F_OM2_R21,F_OM2_R22
0,-0.00000000,405.00000000,-115.00000000,15.73693455,413.54377754,-113.37621938,17.98009753,7.02069748,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,0.99380298,0.04028595,-0.10359909,-0.04716799,0.99677895,-0.06486053,0.10065242,0.06934514,0.99250206,63.05247116,-132.33184814,1073.58850098,-0.97710615,0.20906703,0.03942795,0.00199672,0.19432646,-0.98093486,-0.21274304,-0.95839876,-0.19029503,135.90023804,45.34362793,727.91650391,0.97694373,-0.17176411,0.12679943,0.10591512,-0.12575790,-0.98639089,0.18537258,0.97707832,-0.10466597
0,40.00000000,405.00000000,-115.00000000,55.40006957,410.40363692,-114.18982245,16.34067999,7.19654207,0.98372585,0.17967595,-0.00000000,-0.17967595,0.98372585,0.00000000,0.00000000,-0.00000000,1.00000000,0.97415062,0.19206532,-0.11891773,-0.19791481,0.97942724,-0.03939563,0.10890474,0.06191287,0.99212226,63.02965546,-132.36517334,1073.68872070,-0.97709399,0.20914523,0.03931347,0.00202455,0.19386396,-0.98102635,-0.21279845,-0.95847535,-0.18984674,101.84363556,45.95916748,720.43371582,0.98894829,-0.01961068,0.14695816,0.14323474,-0.12952633,-0.98117620,0.03827648,0.99138206,-0.12528592
0,-40.00000000,405.00000000,-115.00000000,-20.29455646,410.19366544,-115.82712430,20.39516610,8.00835596,0.98372585,-0.17967595,-0.00000000,0.17967595,0.98372585,0.00000000,0.00000000,-0.00000000,1.00000000,0.97556025,-0.17498217,-0.13290386,0.17087642,0.98440608,-0.04178402,0.13814282,0.01805271,0.99024776,63.03634644,-132.35935974,1073.65979004,-0.97720647,0.20861371,0.03934271,0.00191948,0.19399935,-0.98099977,-0.21228246,-0.95856380,-0.18997785,170.21115112,46.76983261,736.01110840,0.91224170,-0.37706456,0.16011682,0.10049559,-0.17292857,-0.97979403,0.39713436,0.90990001,-0.11985934
0,0.00000000,435.00000000,-115.00000000,21.33362557,436.16557064,-116.97933635,21.45693145,9.70019388,1.00000000,0.00000000,-0.00000000,-0.00000000,1.00000000,-0.00000000,0.00000000,0.00000000,1.00000000,0.98520557,-0.03511901,-0.16773954,0.03291265,0.99933150,-0.01591632,0.16818637,0.01016009,0.98570290,63.02794647,-132.38127136,1073.73242188,-0.97716564,0.20881985,0.03926257,0.00194630,0.19357231,-0.98108411,-0.21246998,-0.95860523,-0.18955864,142.28454590,53.74164963,701.36126709,0.94923282,-0.24339627,0.19928691,0.15671648,-0.18340665,-0.97046483,0.27275804,0.95242864,-0.13595141
0,5.00000000,375.00000000,-115.00000000,15.23189850,385.30359433,-112.21688447,14.78517957,5.83489709,0.99965025,0.02644577,0.00000000,-0.02644577,0.99965025,-0.00000000,-0.00000000,0.00000000,1.00000000,0.99565748,0.05974844,-0.07138783,-0.06491436,0.99526233,-0.07238109,0.06672496,0.07670087,0.99481897,63.06598663,-132.33001709,1073.55004883,-0.97717357,0.20872432,0.03957196,0.00191603,0.19492280,-0.98081672,-0.21243379,-0.95835239,-0.19087334,126.80799103,38.62505722,754.98229980,0.98383898,-0.15238607,0.09401754,0.07619054,-0.11888430,-0.98998058,0.16203646,0.98114473,-0.10535264
0,-0.00000000,425.00000000,-115.00000000,18.95139163,427.65226809,-116.08666834,19.16691469,8.58025892,1.00000000,0.00000000,0.00000000,-0.00000000,1.00000000,0.00000000,-0.00000000,-0.00000000,1.00000000,0.98890742,-0.02297150,-0.14674601,0.01922181,0.99945274,-0.02691938,0.14728408,0.02380004,0.98880784,63.03157043,-132.37519836,1073.69958496,-0.97716665,0.20880140,0.03933588,0.00195298,0.19395107,-0.98100924,-0.21246535,-0.95853269,-0.18993030,140.34075928,51.00476456,710.66308594,0.95652026,-0.23207031,0.17667013,0.13882764,-0.17045201,-0.97553730,0.25650701,0.95764786,-0.13082303
0,-0.00000000,420.00000000,-10.00000000,6.27062013,421.92926872,-12.09354121,6.88662976,5.20421683,1.00000000,0.00000000,0.00000000,0.00000000,0.90630779,-0.42261826,-0.00000000,0.42261826,0.90630779,0.99552263,0.02660333,-0.09070262,-0.06258718,0.90461442,-0.42161062,0.07083465,0.42539973,0.90222923,63.06478882,-132.33596802,1073.56213379,-0.97708100,0.20915805,0.03956796,0.00199573,0.19487317,-0.98082644,-0.21285847,-0.95826787,-0.19082429,136.89511108,36.22267151,724.60217285,0.98299408,-0.18004598,0.03613992,0.07968627,0.24090512,-0.96727186,0.16544712,0.95370233,0.25115550
0,-0.00000000,420.00000000,-10.00000000,4.84353979,419.62479409,-12.49901771,5.46312609,12.09961785,0.90377277,0.06773915,0.42261826,-0.07474188,0.99720291,-0.00000000,-0.42143616,-0.03158728,0.90630779,0.97266322,0.06220835,0.22373280,-0.06042156,0.99806281,-0.01483022,-0.22422194,0.00090653,0.97453766,63.02227020,-132.38992310,1073.74658203,-0.97711939,0.20904650,0.03920764,0.00198621,0.19330078,-0.98113751,-0.21268223,-0.95861065,-0.18929315,134.24774170,50.49145508,714.42004395,0.97183025,-0.14789209,-0.18350454,-0.21024494,-0.19216044,-0.95857781,0.10650376,0.97015584,-0.21784090
0,-0.00000000,420.00000000,-10.00000000,5.36396762,420.83101998,-8.22007532,5.71234406,9.21521271,1.00000000,-0.00000000,0.00000000,0.00000000,0.90630779,0.42261826,-0.00000000,-0.42261826,0.90630779,0.98964291,0.07392134,-0.12305522,-0.03030023,0.94547553,0.32428067,0.14031696,-0.31719347,0.93792292,63.03107834,-132.37744141,1073.69604492,-0.97718638,0.20871645,0.03929672,0.00192000,0.19370103,-0.98105872,-0.21237491,-0.95860177,-0.18968274,136.12559509,59.94693756,716.13000488,0.96787572,-0.11263670,0.22478789,0.14162825,-0.49446693,-0.85758024,0.20774518,0.86186743,-0.46262997
0,0.00000000,420.00000000,-10.00000000,7.04851063,420.02122640,-11.25799307,7.15992313,2.06673513,0.90377277,-0.06773915,-0.42261826,0.07474188,0.99720291,-0.00000000,0.42143616,-0.03158728,0.90630779,0.89045518,0.00761242,-0.45500730,-0.00921264,0.99995670,-0.00129964,0.45497773,0.00534909,0.89048678,63.02423096,-132.38598633,1073.71813965,-0.97716266,0.20883794,0.03924082,0.00198776,0.19364464,-0.98106974,-0.21248335,-0.95858669,-0.18963744,140.95606995,50.65500641,715.32879639,0.85418981,-0.20160022,0.47928816,0.44637883,-0.18840356,-0.87478572,0.26665661,0.96117711,-0.07094233
